epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1696,1.60872,3.24963,0.00681,0.59368,0.67341,0.61357,0.35309,1.27753,3.32125,0.00952,0.000631579,0.000631579,0.000631579
2,46.7617,1.50026,1.99324,0.00696,0.72063,0.68588,0.74795,0.3919,1.37025,1.83003,0.01016,0.00128539,0.00128539,0.00128539
3,57.1034,1.51119,1.63631,0.00677,0.62926,0.6185,0.65153,0.35378,1.55366,2.41729,0.01191,0.00192601,0.00192601,0.00192601
4,68.9157,1.52075,1.65124,0.00715,0.67033,0.7522,0.76693,0.43707,1.36912,2.04248,0.00991,0.0019406,0.0019406,0.0019406
5,80.193,1.49692,1.43474,0.00645,0.57827,0.63805,0.59275,0.29073,1.73186,1.62117,0.01328,0.0019208,0.0019208,0.0019208
6,94.9984,1.53746,1.34065,0.00721,0.71723,0.7844,0.78426,0.46145,1.48739,1.35691,0.01109,0.001901,0.001901,0.001901
7,108.9,1.47851,1.36784,0.0064,0.66895,0.78324,0.74025,0.41318,1.50468,1.66935,0.01083,0.0018812,0.0018812,0.0018812
8,124.081,1.47349,1.23449,0.00689,0.69842,0.66934,0.73171,0.38678,1.66778,1.78574,0.01214,0.0018614,0.0018614,0.0018614
9,135.814,1.48314,1.20582,0.00713,0.65393,0.73121,0.72857,0.41477,1.51076,1.87962,0.01127,0.0018416,0.0018416,0.0018416
10,147.297,1.44056,1.11437,0.00677,0.60127,0.71477,0.70042,0.40538,1.36418,1.97116,0.00975,0.0018218,0.0018218,0.0018218
11,158.131,1.40306,1.06228,0.00657,0.62207,0.77542,0.75311,0.42225,1.39817,1.98823,0.01005,0.001802,0.001802,0.001802
12,168.825,1.36649,1.04905,0.00626,0.75286,0.76012,0.8187,0.4863,1.42445,1.42618,0.01054,0.0017822,0.0017822,0.0017822
13,181.025,1.41308,1.01621,0.0068,0.74369,0.79665,0.85005,0.5451,1.3134,1.18932,0.0094,0.0017624,0.0017624,0.0017624
14,195.964,1.34565,1.00976,0.00651,0.74313,0.81792,0.86021,0.53969,1.31119,0.98011,0.00983,0.0017426,0.0017426,0.0017426
15,211.026,1.36892,0.97826,0.0063,0.74024,0.75434,0.83646,0.55422,1.30702,1.0858,0.00964,0.0017228,0.0017228,0.0017228
16,222.668,1.36349,0.96384,0.00661,0.69888,0.7513,0.78245,0.50731,1.31006,1.12273,0.00955,0.001703,0.001703,0.001703
17,234.252,1.32833,1.01595,0.00739,0.78743,0.81792,0.87914,0.5985,1.32569,0.90064,0.01033,0.0016832,0.0016832,0.0016832
18,247.42,1.3031,0.9254,0.0065,0.77465,0.82459,0.87019,0.58196,1.23986,0.95857,0.00951,0.0016634,0.0016634,0.0016634
19,255.034,1.30545,0.98768,0.00614,0.75628,0.80717,0.86716,0.59511,1.16404,1.01307,0.00849,0.0016436,0.0016436,0.0016436
20,265.312,1.32753,0.96683,0.00629,0.77002,0.81214,0.87834,0.58266,1.17105,0.88216,0.00834,0.0016238,0.0016238,0.0016238
21,281.332,1.34538,0.93535,0.00633,0.77281,0.83565,0.86351,0.57045,1.23803,0.952,0.00917,0.001604,0.001604,0.001604
22,290.672,1.32339,0.89651,0.00594,0.79038,0.80347,0.88057,0.57732,1.32666,0.97037,0.0097,0.0015842,0.0015842,0.0015842
23,299.003,1.34749,1.09501,0.01093,0.79003,0.79191,0.87899,0.58638,1.23897,0.84386,0.00903,0.0015644,0.0015644,0.0015644
24,310.095,1.27686,0.93222,0.0061,0.75343,0.80058,0.81853,0.53615,1.22364,1.04876,0.00866,0.0015446,0.0015446,0.0015446
25,319.068,1.23618,0.8794,0.00527,0.8274,0.80347,0.89987,0.6161,1.21747,0.78163,0.00882,0.0015248,0.0015248,0.0015248
