epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5542,1.34618,2.27887,3.27876,0.0061,9.93112,0.05167,0.67391,0.07496,0.03783,0.0467,0.35326,0.08425,0.04698,0.86913,1.38104,3.03479,0.00393,0,0.000592593,0.000592593,0.000592593
2,37.156,1.41553,2.47459,3.19079,0.00624,10.188,0.03133,0.20652,0.04307,0.02707,0.04288,0.3587,0.04931,0.03008,0.86814,1.41405,3.04578,0.00386,0,0.00124679,0.00124679,0.00124679
3,42.3889,1.38458,2.40492,3.18386,0.0058,9.89704,0.03133,0.20652,0.04307,0.02707,0.04288,0.3587,0.04931,0.03008,0.86814,1.41405,3.04578,0.00386,0,0.00188779,0.00188779,0.00188779
4,49.4109,1.33558,2.39778,3.19489,0.00593,9.81772,0.03292,0.42935,0.01846,0.00984,0.0375,0.48913,0.02558,0.01321,0.87822,1.39551,3.07468,0.00398,0,0.0019406,0.0019406,0.0019406
5,54.2969,1.40176,2.39137,3.26401,0.0055,10.6176,0.03292,0.42935,0.01846,0.00984,0.0375,0.48913,0.02558,0.01321,0.87822,1.39551,3.07468,0.00398,0,0.0019208,0.0019208,0.0019208
6,61.7036,1.35094,2.42125,3.26008,0.00653,9.92515,0.03458,0.45109,0.01778,0.00866,0.03917,0.51087,0.02474,0.01229,0.89033,1.41326,3.02558,0.00394,0,0.001901,0.001901,0.001901
7,67.1691,1.3064,2.43315,3.37518,0.00682,9.63156,0.03042,0.39674,0.01513,0.00795,0.03542,0.46196,0.02236,0.01134,0.94465,1.43568,3.06332,0.00452,0,0.0018812,0.0018812,0.0018812
8,72.5208,1.41959,2.56536,3.2759,0.00783,8.96479,0.03042,0.39674,0.01513,0.00795,0.03542,0.46196,0.02236,0.01134,0.94465,1.43568,3.06332,0.00452,0,0.0018614,0.0018614,0.0018614
9,79.4828,1.39463,2.62005,3.22475,0.00687,9.96005,0.0275,0.3587,0.01151,0.00554,0.03292,0.42935,0.01688,0.00809,0.953,1.47738,3.12117,0.00474,0,0.0018416,0.0018416,0.0018416
10,84.3948,1.39225,2.52858,3.26344,0.00657,10.0851,0.0275,0.3587,0.01151,0.00554,0.03292,0.42935,0.01688,0.00809,0.953,1.47738,3.12117,0.00474,0,0.0018218,0.0018218,0.0018218
11,89.4907,1.47515,2.42442,3.2027,0.00605,9.56791,0.02667,0.34783,0.01068,0.0049,0.0325,0.42391,0.01627,0.00764,0.97248,1.53128,3.13742,0.00495,0,0.001802,0.001802,0.001802
12,95.5963,1.27599,2.26721,3.22036,0.0059,9.90392,0.025,0.32609,0.00929,0.0043,0.02958,0.38587,0.01279,0.00636,1.01089,1.58784,3.1395,0.00536,0,0.0017822,0.0017822,0.0017822
13,100.409,1.40473,2.43584,3.21861,0.00599,10.1734,0.025,0.32609,0.00929,0.0043,0.02958,0.38587,0.01279,0.00636,1.01089,1.58784,3.1395,0.00536,0,0.0017624,0.0017624,0.0017624
14,106.236,1.80678,7.80571,3.17755,0.00963,8.41378,0.05503,0.44022,0.0411,0.00815,0.31944,0.125,0.07766,0.02409,2.4708,14.3082,8.87448,0.01656,0,0.0017426,0.0017426,0.0017426
15,112.221,2.17603,14.7935,3.28066,0.012,7.25385,0.05503,0.44022,0.0411,0.00815,0.31944,0.125,0.07766,0.02409,2.4708,14.3082,8.87448,0.01656,0,0.0017228,0.0017228,0.0017228
